,Tree node ID,Tree node label,palmdb_sp_count,ncbi_sp_count,palmdb_sp_count_log,ncbi_sp_count_log,palmdb_sp_count_log-ncbi_sp_count_log
176,Unclass. Milneviricetes G,Unclass. Milneviricetes G,2,NA,0.6931471805599453,0.0,0.6931471805599453
177,Unclass. Yunchangviricetes G,Unclass. Yunchangviricetes G,3,NA,1.0986122886681098,0.0,1.0986122886681098
178,Unclass. Goujianvirales G,Unclass. Goujianvirales G,77,NA,4.343805421853684,0.0,4.343805421853684
179,Yuyuevirus,Yuyuevirus,1,2,0.0,0.6931471805599453,0.0
180,Unclass. Yueviridae,Unclass. Yueviridae,80,NA,4.382026634673881,0.0,4.382026634673881
181,Unclass. Insthoviricetes G,Unclass. Insthoviricetes G,70,NA,4.248495242049359,0.0,4.248495242049359
182,Tilapinevirus,Tilapinevirus,6,1,1.791759469228055,0.0,1.791759469228055
183,Unclass. Articulavirales G,Unclass. Articulavirales G,131,NA,4.875197323201151,0.0,4.875197323201151
184,Alphainfluenzavirus,Alphainfluenzavirus,5715,7,8.65084957622891,1.9459101490553132,6.704939427173597
185,Unclass. Orthomyxoviridae,Unclass. Orthomyxoviridae,177,NA,5.176149732573829,0.0,5.176149732573829
186,Thogotovirus,Thogotovirus,16,8,2.772588722239781,2.0794415416798357,0.6931471805599454
187,Deltainfluenzavirus,Deltainfluenzavirus,20,1,2.995732273553991,0.0,2.995732273553991
188,Gammainfluenzavirus,Gammainfluenzavirus,13,1,2.5649493574615367,0.0,2.5649493574615367
189,Betainfluenzavirus,Betainfluenzavirus,349,1,5.855071922202427,0.0,5.855071922202427
190,Isavirus,Isavirus,12,2,2.4849066497880004,0.6931471805599453,1.791759469228055
191,Quaranjavirus,Quaranjavirus,27,6,3.295836866004329,1.791759469228055,1.5040773967762742
192,Unclass. Ellioviricetes G,Unclass. Ellioviricetes G,450,NA,6.1092475827643655,0.0,6.1092475827643655
193,Unclass. Bunyavirales G,Unclass. Bunyavirales G,740,NA,6.606650186198215,0.0,6.606650186198215
194,Unclass. Nairoviridae,Unclass. Nairoviridae,3,NA,1.0986122886681098,0.0,1.0986122886681098
195,Orthonairovirus,Orthonairovirus,133,42,4.890349128221754,3.7376696182833684,1.1526795099383853
